model_label,layer,mode,metric,estimand,estimate,jackknife_se,ci_low_normal,ci_high_normal,jackknife_seed_count
Gemma4-E4B,0,non_thinking,centroid_nearest_squared,quality_slope_per_index,-16.312154966412173,16.775820117181194,-49.19276239608731,16.568452463262965,10
Gemma4-E4B,0,non_thinking,centroid_nearest_squared,quality_spearman,-0.8353813836471727,0.40661394195840744,-1.6323447098856514,-0.038418057408694195,10
Gemma4-E4B,0,non_thinking,centroid_nearest_squared,late_8_10_minus_early_1_3,-104.46796671549478,121.44063255201905,-342.4916065174521,133.55567308646255,10
Gemma4-E4B,0,non_thinking,class_nc1_ratio,quality_slope_per_index,0.9187618352130091,1.009729327633871,-1.060307646949378,2.8978313173753962,10
Gemma4-E4B,0,non_thinking,class_nc1_ratio,quality_spearman,0.3696969696969697,0.6635740942143512,-0.9309082549631587,1.670302194357098,10
Gemma4-E4B,0,non_thinking,class_nc1_ratio,late_8_10_minus_early_1_3,5.915850491206802,7.426534560285758,-8.640157246953285,20.471858229366887,10
Gemma4-E4B,0,non_thinking,fisher_nearest,quality_slope_per_index,0.001771904846528853,0.00775990615979381,-0.013437511226667012,0.016981320919724718,10
Gemma4-E4B,0,non_thinking,fisher_nearest,quality_spearman,0.3696969696969697,0.972677993654037,-1.5367518978649428,2.2761458372588823,10
Gemma4-E4B,0,non_thinking,fisher_nearest,late_8_10_minus_early_1_3,0.017670676645428374,0.05180306976068417,-0.08386334008551259,0.11920469337636934,10
Gemma4-E4B,0,non_thinking,logistic_f1,quality_slope_per_index,-0.020777246957939307,0.010597595455605005,-0.041548534050925116,-5.95986495349754e-06,10
Gemma4-E4B,0,non_thinking,logistic_f1,quality_spearman,-0.58537673598634,0.352795269174572,-1.2768554635685012,0.10610199159582112,10
Gemma4-E4B,0,non_thinking,logistic_f1,late_8_10_minus_early_1_3,-0.10200119033968363,0.10126133744631531,-0.3004734117344616,0.09647103105509436,10
Gemma4-E4B,0,non_thinking,logistic_precision,quality_slope_per_index,-0.016817191523073868,0.011529023308138183,-0.03941407720702471,0.00577969416087697,10
