endpoint,model_label,mode,analysis_group,selector,token_site,layer,retained_labels,retained_class_count,discovery_oof_logistic_balanced_accuracy,discovery_oof_ncc_balanced_accuracy,discovery_selection_score,discovery_oof_rows,discovery_fold_count,discovery_pca_components_min,discovery_pca_components_max,confirmation_logistic_balanced_accuracy,confirmation_ncc_balanced_accuracy,confirmation_class_balanced_snr,confirmation_class_balanced_snr_db,confirmation_signal_power,confirmation_noise_power,confirmation_rows,confirmation_seed_count,confirmation_support_min,confirmation_support_max,confirmation_pca_components,chance_balanced_accuracy
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,0,1 2 3 4 5 6 7 8 9 10,10,0.11500000000000002,0.125,0.12000000000000001,1100,5,16,16,0.12000000000000002,0.14,0.08007638176095042,-10.96495558615079,1.340421199798584,16.73928279876709,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,1,1 2 3 4 5 6 7 8 9 10,10,0.10500000000000001,0.12500000000000003,0.11500000000000002,1100,5,16,16,0.07999999999999999,0.09,0.0673648583322877,-11.715665991981691,1.1954805850982666,17.746353435516358,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,2,1 2 3 4 5 6 7 8 9 10,10,0.09,0.10500000000000001,0.0975,1100,5,16,16,0.16,0.13,0.09194402365967881,-10.364764945496104,1.224346399307251,13.316215133666992,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,3,1 2 3 4 5 6 7 8 9 10,10,0.13500000000000004,0.13499999999999998,0.135,1100,5,16,16,0.14,0.13999999999999999,0.11639854840761979,-9.340524356869174,1.477232813835144,12.691161823272704,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,4,1 2 3 4 5 6 7 8 9 10,10,0.13,0.13999999999999999,0.135,1100,5,16,16,0.21999999999999997,0.2,0.11532629149792961,-9.380716731837442,1.3850619792938232,12.00994119644165,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,5,1 2 3 4 5 6 7 8 9 10,10,0.27,0.24000000000000005,0.255,1100,5,16,16,0.30999999999999994,0.32999999999999996,0.19727409686644337,-7.049299361695045,1.4968056678771973,7.587441492080688,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,6,1 2 3 4 5 6 7 8 9 10,10,0.27,0.255,0.2625,1100,5,16,16,0.37,0.25,0.1642331818776364,-7.845390929505607,1.3292748928070068,8.093826580047608,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,7,1 2 3 4 5 6 7 8 9 10,10,0.31499999999999995,0.295,0.30499999999999994,1100,5,16,16,0.29999999999999993,0.24000000000000005,0.1461330232022203,-8.35251630924741,1.217214822769165,8.329498672485352,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,8,1 2 3 4 5 6 7 8 9 10,10,0.305,0.265,0.28500000000000003,1100,5,16,16,0.27999999999999997,0.3,0.1481454806465744,-8.293115926496196,1.3523569107055664,9.128573513031006,550,10,10,100,16,0.1
running_index,Gemma4-E4B,non_thinking,all_traces,prompt_span_site_search,span_end,9,1 2 3 4 5 6 7 8 9 10,10,0.32499999999999996,0.295,0.30999999999999994,1100,5,16,16,0.35,0.30000000000000004,0.17243456955804692,-7.633756627382989,1.583075761795044,9.180733108520508,550,10,10,100,16,0.1
